,locations,timeOfDay,stayTime
1120,Pettah Market,Evening,60
1121,Pettah Market,Night,45
1125,One Galle Face ,Morning,60
1126,One Galle Face ,Evening,60
1127,One Galle Face ,Night,120
1128,Colombo City Center (CCC),Morning,45
1129,Colombo City Center (CCC),Evening,45
1130,Colombo City Center (CCC),Night,120
1133,Galle Face Green,Night,120
1134,Gangaramaya Temple,Morning,45
1136,Gangaramaya Temple,Night,45
1145,Dutch Museum,Night,120
1155,Viharamahadevi Park,Morning,60
1157,Viharamahadevi Park,Night,60
1164,Pettah Market,Morning,60
1165,Pettah Market,Evening,45
1170,One Galle Face ,Morning,45
1171,One Galle Face ,Evening,60
1172,One Galle Face ,Night,60
1173,Colombo City Center (CCC),Morning,45
1174,Colombo City Center (CCC),Evening,60
1175,Colombo City Center (CCC),Night,60
1176,Galle Face Green,Morning,45
1177,Galle Face Green,Evening,60
1178,Galle Face Green,Night,60
1182,National Museum of Colombo,Morning,60
1183,National Museum of Colombo,Evening,60
1184,National Museum of Colombo,Night,60
1185,Independence Memorial Hall,Morning,60
1186,Independence Memorial Hall,Evening,60
1187,Independence Memorial Hall,Night,60
1188,Dutch Museum,Morning,45
1189,Dutch Museum,Evening,60
1190,Dutch Museum,Night,60
1191,National Art Gallery,Morning,60
1192,National Art Gallery,Evening,60
1193,National Art Gallery,Night,60
1200,Viharamahadevi Park,Morning,60
1201,Viharamahadevi Park,Evening,60
1202,Viharamahadevi Park,Night,60
1203,Port City,Morning,60
1204,Port City,Evening,60
1205,Port City,Night,60
1206,Lotus Tower,Morning,45
1207,Lotus Tower,Evening,45
1208,Lotus Tower,Night,45
1209,Pettah Market,Morning,60
1210,Pettah Market,Evening,60
1211,Pettah Market,Night,60
1212,Jami Ul-Alfar Mosque,Morning,45
1213,Jami Ul-Alfar Mosque,Evening,45
1214,Jami Ul-Alfar Mosque,Night,45
1215,One Galle Face ,Morning,45
1216,One Galle Face ,Evening,45
1217,One Galle Face ,Night,45
1218,Colombo City Center (CCC),Morning,45
1219,Colombo City Center (CCC),Evening,45
